1,CUCOSTA,INGENIERIA CIVIL,71.0000,36,33,33
1,CUCOSTA,INGENIERIA EN COMPUTACION,70.0000,33,31,31
1,CUCOSTA,INGENIERIA EN TELEMATICA,73.0700,11,9,9
1,CUCOSTA,INGENIERIA EN VIDEOJUEGOS,76.0000,30,30,36
1,CUCOSTA,LICENCIATURA EN ADMINISTRACION,70.0000,81,72,72
1,CUCOSTA,LICENCIATURA EN ARQUITECTURA,66.4900,80,69,69
1,CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,71.0700,10,10,10
1,CUCOSTA,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,73.0000,26,21,21
1,CUCOSTA,LICENCIATURA EN BIOLOGIA,65.0000,31,29,29
1,CUCOSTA,LICENCIATURA EN CIENCIAS Y ARTES CULINARIAS,82.5100,30,30,40
1,CUCOSTA,LICENCIATURA EN CONTADURIA PUBLICA,69.0000,79,68,68
1,CUCOSTA,LICENCIATURA EN CULTURA FISICA Y DEPORTES,68.0000,39,34,34
1,CUCOSTA,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,68.8800,35,34,34
1,CUCOSTA,LICENCIATURA EN ENFERMERIA,128.9167,41,41,79
1,CUCOSTA,LICENCIATURA EN INGENIERIA EN COMUNICACION MULTIMEDIA,67.0000,30,26,26
1,CUCOSTA,LICENCIATURA EN NUTRICION,120.9200,40,40,60
1,CUCOSTA,LICENCIATURA EN PSICOLOGIA ,67.0000,88,79,79
1,CUCOSTA,LICENCIATURA EN TURISMO,68.0000,32,29,29
1,CUCOSTA,MEDICO CIRUJANO Y PARTERO,172.7567,41,41,290
1,CUCSUR,ABOGADO,71.0000,70,30,30
1,CUCSUR,INGENIERIA DE PROCESOS Y COMERCIO INTERNACIONAL,68.5100,30,17,17
1,CUCSUR,INGENIERIA MECATRONICA,72.0000,40,18,18
1,CUCSUR,INGENIERO AGRONOMO,105.2500,50,50,68
1,CUCSUR,LICENCIATURA EN ADMINISTRACION,71.6400,40,28,28
1,CUCSUR,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,72.0800,30,18,18
1,CUCSUR,LICENCIATURA EN ARTES (ESCOLARIZADA),69.7100,38,32,32
1,CUCSUR,LICENCIATURA EN BIOLOGIA MARINA,96.2500,35,33,33
1,CUCSUR,LICENCIATURA EN CONTADURIA PUBLICA,72.0000,40,30,30
1,CUCSUR,LICENCIATURA EN ENFERMERIA,123.7733,40,40,80
1,CUCSUR,LICENCIATURA EN INGENIERIA EN OBRAS Y SERVICIOS,75.0500,50,20,20
1,CUCSUR,LICENCIATURA EN INGENIERIA EN RECURSOS NATURALES Y AGROPECUARIOS,67.7200,30,8,8
1,CUCSUR,LICENCIATURA EN INGENIERIA EN TELEINFORMATICA,70.0000,30,10,10
1,CUCSUR,LICENCIATURA EN NUTRICION,73.9300,40,21,21
1,CUCSUR,LICENCIATURA EN TURISMO,73.9000,30,11,11
1,CUCSUR,TECNICO SUPERIOR UNIVERSITARIO EN ELECTRONICA Y MECANICA AUTOMOTRIZ,67.8400,30,21,21
1,CULAGOS,ABOGADO (SEMIESCOLARIZADO),70.0000,46,46,46
1,CULAGOS,INGENIERIA BIOQUIMICA,72.0000,46,46,46
1,CULAGOS,INGENIERIA INDUSTRIAL,68.6700,45,17,17
1,CULAGOS,INGENIERIA MECATRONICA,72.0000,45,24,24
1,CULAGOS,LICENCIATURA EN INGENIERIA EN ADMINISTRACION INDUSTRIAL,71.5100,45,22,22
1,CULAGOS,LICENCIATURA EN PSICOLOGIA ,68.9500,45,38,38
1,CULAGOS,ABOGADO,72.4100,45,15,15
1,CULAGOS,LICENCIATURA EN ADMINISTRACION,67.1600,45,23,23
1,CULAGOS,LICENCIATURA EN LENGUAS Y CULTURAS EXTRANJERAS,87.0800,50,50,90
1,CULAGOS,LICENCIATURA EN PSICOLOGIA ,69.9000,45,11,11
1,CUNORTE,ABOGADO,67.3600,35,20,20
1,CUNORTE,INGENIERIA EN ELECTRONICA Y COMPUTACION,71.0000,20,8,8
1,CUNORTE,INGENIERIA MECANICA ELECTRICA,71.0000,15,3,3
1,CUNORTE,LICENCIATURA EN ADMINISTRACION,71.4400,30,13,13
1,CUNORTE,LICENCIATURA EN AGRONEGOCIOS,71.7000,20,5,5
1,CUNORTE,LICENCIATURA EN ANTROPOLOGIA,77.0000,15,2,2
1,CUNORTE,LICENCIATURA EN CONTADURIA PUBLICA,66.0000,30,13,13
1,CUNORTE,LICENCIATURA EN EDUCACION,68.0000,60,46,46
1,CUNORTE,LICENCIATURA EN ENFERMERIA,67.0000,50,31,31
1,CUNORTE,LICENCIATURA EN ENFERMERIA (NIVELACION),71.0000,40,20,20
1,CUNORTE,LICENCIATURA EN NUTRICION,75.0000,30,11,11
1,CUNORTE,LICENCIATURA EN PSICOLOGIA ,67.9000,30,11,11
1,CUSUR,ABOGADO,67.0000,84,84,84
1,CUSUR,CARRERA EN ENFERMERIA,71.0000,40,17,17
1,CUSUR,INGENIERIA EN TELEMATICA,77.0000,50,19,19
1,CUSUR,LICENCIATURA EN AGROBIOTECNOLOGIA,68.4700,40,39,39
1,CUSUR,LICENCIATURA EN AGRONEGOCIOS,68.7400,70,54,54
1,CUSUR,LICENCIATURA EN CIRUJANO DENTISTA,159.9300,36,36,227
1,CUSUR,LICENCIATURA EN CULTURA FISICA Y DEPORTES,83.0000,42,42,92
1,CUSUR,LICENCIATURA EN DESARROLLO TURISTICO SUSTENTABLE,75.9500,40,16,16
1,CUSUR,LICENCIATURA EN ENFERMERIA,83.8500,90,90,118
1,CUSUR,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,86.0000,79,79,173
1,CUSUR,LICENCIATURA EN NEGOCIOS INTERNACIONALES,81.0000,82,82,112
1,CUSUR,LICENCIATURA EN NUTRICION,76.8700,60,60,68
1,CUSUR,LICENCIATURA EN PSICOLOGIA ,81.0000,80,80,109
1,CUSUR,LICENCIATURA EN SEGURIDAD LABORAL PROTECCION CIVIL Y EMERGENCIAS,69.0000,40,21,21
1,CUSUR,LICENCIATURA EN TRABAJO SOCIAL (MIXTA),70.4400,40,39,39
1,CUSUR,MEDICO CIRUJANO Y PARTERO,172.1667,60,60,383
1,CUTLAJO,INGENIERIA CIVIL,140.9300,35,35,99
1,CUTLAJO,INGENIERIA MECATRONICA,139.9533,35,35,107
1,CUTLAJO,LICENCIATURA EN ADMINISTRACION,129.1967,70,70,146
1,CUTLAJO,LICENCIATURA EN ENFERMERIA,134.7467,70,70,228
1,CUTLAJO,LICENCIATURA EN NEGOCIOS INTERNACIONALES,125.4033,70,70,124
1,CUTLAJO,LICENCIATURA EN NUTRICION,127.3333,70,70,149
1,CUTLAJO,LICENCIATURA EN TERAPIA FISICA,89.1000,30,30,83
1,CUTLAJO,MEDICO CIRUJANO Y PARTERO,173.7233,70,70,554
1,CUTONALA,ABOGADO,121.3433,180,180,311
1,CUTONALA,INGENIERIA EN CIENCIAS COMPUTACIONALES,113.7867,90,90,110
1,CUTONALA,INGENIERIA EN ENERGIA,67.0000,60,52,52
1,CUTONALA,INGENIERIA EN NANOTECNOLOGIA,101.6667,90,76,76
1,CUTONALA,LICENCIATURA EN ADMINISTRACION DE NEGOCIOS,125.8100,120,120,213
1,CUTONALA,LICENCIATURA EN ARQUITECTURA,126.2567,80,80,90
1,CUTONALA,LICENCIATURA EN CIENCIAS FORENSES,141.4767,35,35,118
1,CUTONALA,LICENCIATURA EN CONTADURIA PUBLICA,119.7200,120,120,164
1,CUTONALA,LICENCIATURA EN DISEÑO DE ARTESANIA,70.0000,30,20,20
1,CUTONALA,LICENCIATURA EN ESTUDIOS LIBERALES,71.0000,30,18,18
1,CUTONALA,LICENCIATURA EN GERONTOLOGIA,117.5233,35,35,50
1,CUTONALA,LICENCIATURA EN HISTORIA DEL ARTE,67.0000,30,20,20
1,CUTONALA,LICENCIATURA EN NUTRICION,133.3400,70,70,204
1,CUTONALA,LICENCIATURA EN SALUD PUBLICA,103.0833,35,30,30
1,CUTONALA,MEDICO CIRUJANO Y PARTERO,176.7267,120,120,"1,031"
1,CUVALLES,ABOGADO,113.0167,40,40,57
1,CUVALLES,INGENIERIA EN DISEÑO MOLECULAR DE MATERIALES,74.3100,15,5,5
1,CUVALLES,INGENIERIA EN ELECTRONICA Y COMPUTACION,66.2600,36,29,29
1,CUVALLES,INGENIERIA EN GEOFISICA,82.0000,15,3,3
1,CUVALLES,INGENIERIA EN INSTRUMENTACION ELECTRONICA Y NANOSENSORES,77.0000,15,3,3
1,CUVALLES,INGENIERIA EN SISTEMAS BIOLOGICOS,71.6900,25,14,14
1,CUVALLES,INGENIERIA MECATRONICA,73.4900,40,36,36
1,CUVALLES,LICENCIATURA EN ADMINISTRACION,115.2333,40,40,57
1,CUVALLES,LICENCIATURA EN AGRONEGOCIOS,67.0000,30,18,18
1,CUVALLES,LICENCIATURA EN CONTADURIA PUBLICA,123.4167,40,40,63
1,CUVALLES,LICENCIATURA EN EDUCACION,102.2400,72,72,77
1,CUVALLES,LICENCIATURA EN ENFERMERIA,123.7267,72,72,169
1,CUVALLES,LICENCIATURA EN NUTRICION,117.3700,40,40,68
1,CUVALLES,LICENCIATURA EN PSICOLOGIA ,112.9167,72,72,85
1,CUVALLES,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,73.8700,25,15,15
1,CUVALLES,LICENCIATURA EN TRABAJO SOCIAL (ESCOLARIZADA),102.8367,40,40,42
1,CUVALLES,LICENCIATURA EN TURISMO,71.6900,30,20,20
1,SUV,BACHILLERATO GENERAL POR AREAS INTERDISCIPLINARIAS,68.0000,99,85,96
1,SUV,LICENCIATURA EN ADMINISTRACION DE LAS ORGANIZACIONES,60.0000,269,258,296
1,SUV,LICENCIATURA EN BIBLIOTECOLOGIA Y GESTION DEL CONOCIMIENTO,76.0000,17,16,16
1,SUV,LICENCIATURA EN DESARROLLO DE SISTEMAS WEB,65.0000,142,134,147
1,SUV,LICENCIATURA EN DESARROLLO EDUCATIVO,67.0000,122,116,134
1,SUV,LICENCIATURA EN GESTION CULTURAL,60.0000,67,61,65
1,SUV,LICENCIATURA EN MERCADOTECNIA DIGITAL,60.0000,229,217,238
1,SUV,LICENCIATURA EN PERIODISMO DIGITAL,60.0000,19,17,18
1,SUV,LICENCIATURA EN SEGURIDAD CIUDADANA,66.8400,35,33,38
